event_message,event_type,execution_id,function_id,id,level,timestamp
shutdown,Shutdown,132bd2ca-cea2-484a-9467-d2693d8f9795,6085dae9-7976-41e8-b25a-5f270f869c5c,1bab760b-2657-4632-a0b5-1d54ace914ed,log,1776945451887000
shutdown,Shutdown,95bd3f77-91ca-42bb-a20b-b39c362007bb,6085dae9-7976-41e8-b25a-5f270f869c5c,7a649bce-62c4-42d0-8d63-c884c36784f4,log,1776945451749000
shutdown,Shutdown,f1ff7bd8-6e9f-4505-a7c8-ea1e22315bf3,6085dae9-7976-41e8-b25a-5f270f869c5c,66774e57-6c96-47d0-a0a8-05dc740927d9,log,1776945384582000
shutdown,Shutdown,faf4961e-f4b6-4f7d-8d83-49773bcf998b,6085dae9-7976-41e8-b25a-5f270f869c5c,95bd4a59-b046-41c2-8751-5e124a0063dc,log,1776945384382000
"Gemini API error: 503 {
  ""error"": {
    ""code"": 503,
    ""message"": ""This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later."",
    ""status"": ""UNAVAILABLE""
  }
}

",Log,132bd2ca-cea2-484a-9467-d2693d8f9795,6085dae9-7976-41e8-b25a-5f270f869c5c,6184d57d-ddfa-437c-b6e1-457d241f0b88,error,1776945377636000
"Calling Gemini API...
",Log,132bd2ca-cea2-484a-9467-d2693d8f9795,6085dae9-7976-41e8-b25a-5f270f869c5c,945063f0-d28d-45b5-b078-bba6289f60e4,info,1776945376875000
"Request received: {
  deskripsi: ""buatin caption ramadhan"",
  gaya_bahasa: ""friendly"",
  panjang_caption: ""sedang"",
  opsi_hashtag: ""seperlunya"",
  opsi_emoji: ""sedikit"",
  tujuan_caption: ""none""
}
",Log,132bd2ca-cea2-484a-9467-d2693d8f9795,6085dae9-7976-41e8-b25a-5f270f869c5c,60c3fd42-3464-43af-b4c2-5b86366b6882,info,1776945376875000
"Listening on http://localhost:9999/
",Log,132bd2ca-cea2-484a-9467-d2693d8f9795,6085dae9-7976-41e8-b25a-5f270f869c5c,8208e9be-dc8a-4620-b092-5542bb75a6f8,info,1776945376871000
booted (time: 22ms),Boot,132bd2ca-cea2-484a-9467-d2693d8f9795,6085dae9-7976-41e8-b25a-5f270f869c5c,a52db170-6453-491f-82e5-45cbf0208030,log,1776945376868000
"Listening on http://localhost:9999/
",Log,95bd3f77-91ca-42bb-a20b-b39c362007bb,6085dae9-7976-41e8-b25a-5f270f869c5c,8cc83ace-61fa-4ee6-b3a4-580a480568f1,info,1776945376722000
booted (time: 26ms),Boot,95bd3f77-91ca-42bb-a20b-b39c362007bb,6085dae9-7976-41e8-b25a-5f270f869c5c,7c548fe1-fa0b-4818-814f-05227b055482,log,1776945376718000
shutdown,Shutdown,ac8bcddf-e969-4ef2-ab6c-2c2ab8527fdd,6085dae9-7976-41e8-b25a-5f270f869c5c,0f4a4d45-7fbd-4d75-a48b-f74325045f0f,log,1776945370211000
shutdown,Shutdown,c3c5b6b6-5034-4b95-b97d-e6bfc1cb727d,6085dae9-7976-41e8-b25a-5f270f869c5c,4fd021aa-7fe6-4064-99f8-3a3214883ec2,log,1776945368706000
"Gemini API error: 503 {
  ""error"": {
    ""code"": 503,
    ""message"": ""This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later."",
    ""status"": ""UNAVAILABLE""
  }
}

",Log,f1ff7bd8-6e9f-4505-a7c8-ea1e22315bf3,6085dae9-7976-41e8-b25a-5f270f869c5c,4fd77b7e-9ce8-4e6a-8b6b-40bc87f175e8,error,1776945315459000
"Calling Gemini API...
",Log,f1ff7bd8-6e9f-4505-a7c8-ea1e22315bf3,6085dae9-7976-41e8-b25a-5f270f869c5c,b472d21f-2ecf-4d41-967f-edf319348962,info,1776945309570000
